Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,City,State,Credit_Limit2
Existing Customer,58,F,2,High School,Single,$40K - $60K,Blue,36,3,3,3,7372,1210,6162,0.946,1707,56,0.514,0.164,Brownsville,TX,7372
Existing Customer,58,F,1,College,Married,Less than $40K,Blue,49,3,3,2,3846,1285,2561,0.608,1815,47,0.621,0.334,Belfair,WA,3846
Existing Customer,48,F,3,High School,Single,Less than $40K,Blue,28,4,2,1,2944,753,2191,0.707,3457,61,0.848,0.256,Switz City,IN,2944
Existing Customer,38,M,2,Post-Graduate,Single,$60K - $80K,Silver,36,3,3,4,34516,1954,32562,0.436,1872,52,0.486,0.057,Portage,WI,34516
Existing Customer,54,M,2,High School,Married,$80K - $120K,Blue,38,6,3,4,5660,2006,3654,0.779,1569,39,0.773,0.354,Gainesville,FL,5660
Existing Customer,35,F,4,Uneducated,Married,Less than $40K,Blue,26,5,1,4,2494,1316,1178,1.486,2946,57,1.036,0.528,Edinburg,TX,2494
Existing Customer,31,M,1,College,Married,$80K - $120K,Blue,36,4,1,0,25215,1445,23770,1.033,2588,48,1,0.057,Wickes,AR,25215
Existing Customer,40,F,4,College,Married,$40K - $60K,Blue,24,5,3,2,2606,1818,788,0.703,1999,50,1.174,0.698,Bakersfield,CA,2606
Existing Customer,52,M,0,Graduate,Single,$80K - $120K,Blue,43,4,3,3,8133,1942,6191,0.572,3310,76,0.583,0.239,New York,NY,8133
Existing Customer,57,F,1,High School,Married,Less than $40K,Blue,36,6,2,2,3101,1257,1844,0.416,1681,32,0.524,0.405,Hamburg,NY,3101
Existing Customer,48,M,2,Graduate,Divorced,$80K - $120K,Blue,29,6,2,3,24446,1854,22592,0.782,3897,75,0.786,0.076,Miami,FL,24446
Existing Customer,49,M,3,High School,Married,$80K - $120K,Blue,39,5,3,2,2361,1342,1019,0.6,4316,78,0.529,0.568,Henrico,VA,2361
Existing Customer,40,M,4,High School,Single,$40K - $60K,Blue,32,6,4,2,2441,1656,785,0.762,3903,62,0.824,0.678,Appleton,WI,2441
Existing Customer,45,M,2,Graduate,Married,$40K - $60K,Blue,41,5,2,2,8532,2165,6367,0.707,3242,63,0.75,0.254,Kuna,ID,8532
Existing Customer,36,M,2,Graduate,Single,$80K - $120K,Blue,17,4,3,1,2900,2029,871,0.846,2631,72,0.6,0.7,Tacoma,WA,2900
Existing Customer,44,F,3,College,Divorced,$40K - $60K,Blue,34,5,2,5,4513,1950,2563,0.83,3164,62,0.59,0.432,Sterling Heights,MI,4513
Existing Customer,52,M,2,College,Married,$120K +,Blue,47,3,3,2,27347,719,26628,0.695,4040,77,0.674,0.026,Torrance,CA,27347
Existing Customer,42,F,3,High School,Married,Less than $40K,Blue,36,4,3,1,1676,1372,304,0.522,4381,77,0.571,0.819,Douglas,GA,1676
Existing Customer,30,F,0,Graduate,Single,Less than $40K,Blue,17,3,2,1,4868,1090,3778,0.679,2907,69,0.816,0.224,Saint Simons Island,GA,4868
Existing Customer,50,M,3,Uneducated,Single,$60K - $80K,Blue,45,5,3,5,20437,1020,19417,0.563,4166,66,0.737,0.05,Laurel Hill,NC,20437
Existing Customer,32,M,2,High School,Divorced,$60K - $80K,Blue,26,6,1,4,2239,1338,901,0.567,2466,60,0.579,0.598,Coventry,RI,2239
Existing Customer,32,F,1,Graduate,Single,Less than $40K,Blue,28,6,3,3,2428,1027,1401,0.824,3007,84,0.867,0.423,Crown Point,IN,2428
Existing Customer,37,M,2,Doctorate,Single,$120K +,Blue,32,3,3,5,32056,1887,30169,0.831,2730,68,0.7,0.059,West Harrison,NY,32056
Existing Customer,48,M,3,Uneducated,Single,$60K - $80K,Gold,40,5,2,5,34516,2317,32199,0.699,3927,68,0.7,0.067,San Diego,CA,34516
Existing Customer,33,F,3,Post-Graduate,Married,$40K - $60K,Blue,28,5,2,3,1864,1081,783,1.416,2607,44,1.75,0.58,Powder Springs,GA,1864
Existing Customer,36,M,2,College,Single,$60K - $80K,Blue,24,5,2,5,23032,840,22192,0.739,2787,73,0.698,0.036,Amanda,OH,23032
Existing Customer,36,F,4,High School,Married,Less than $40K,Blue,36,4,1,3,4277,1578,2699,0.84,1855,49,1.042,0.369,Hannibal,NY,4277
Existing Customer,56,F,2,High School,Married,$40K - $60K,Blue,41,5,3,2,2771,1446,1325,0.686,1706,27,0.227,0.522,Holly Springs,MS,2771
Existing Customer,31,F,2,Uneducated,Divorced,Less than $40K,Blue,19,6,2,0,2853,1961,892,0.866,2697,68,0.789,0.687,West Plains,MO,2853
Existing Customer,44,F,3,Uneducated,Single,Less than $40K,Blue,33,5,3,5,3075,2517,558,0.922,3534,53,0.71,0.819,Honeoye Falls,NY,3075
Existing Customer,37,M,2,Uneducated,Single,$60K - $80K,Blue,36,4,2,2,11419,2517,8902,1.211,3000,70,1.059,0.22,Medford,NY,11419
Existing Customer,47,F,3,Uneducated,Married,Less than $40K,Blue,32,4,3,2,2821,951,1870,0.577,1452,38,1.923,0.337,Marietta,GA,2821
Existing Customer,54,M,1,Graduate,Married,$40K - $60K,Blue,43,4,3,3,2706,2517,189,0.506,1682,39,0.625,0.93,State College,PA,2706
Existing Customer,36,F,4,High School,Single,Less than $40K,Blue,28,5,1,2,2226,1607,619,0.656,2660,62,1,0.722,North Haven,CT,2226
Existing Customer,37,M,5,Graduate,Married,$60K - $80K,Blue,31,5,3,4,3351,1847,1504,0.67,1910,43,0.593,0.551,Perkins,OK,3351
Existing Customer,47,M,4,College,Divorced,$40K - $60K,Blue,36,5,1,1,5570,1858,3712,0.783,4129,72,0.636,0.334,Kenosha,WI,5570
Existing Customer,35,M,2,Uneducated,Single,$60K - $80K,Blue,30,6,3,3,21695,1257,20438,0.793,2266,74,0.48,0.058,Houston,TX,21695
Existing Customer,49,M,0,Uneducated,Single,$80K - $120K,Blue,36,5,3,4,16156,2517,13639,0.804,4160,81,0.653,0.156,Chana,IL,16156
Existing Customer,53,F,2,Graduate,Married,Less than $40K,Blue,46,6,2,4,2413,2015,398,0.47,1398,24,0.714,0.835,High Point,NC,2413
Existing Customer,56,M,2,High School,Married,$80K - $120K,Blue,45,3,2,3,5920,1589,4331,0.512,1408,28,0.273,0.268,Lawrence,KS,5920
Existing Customer,41,M,3,College,Single,$60K - $80K,Blue,28,6,3,0,5841,2463,3378,1.047,3817,81,0.761,0.422,Saint George,UT,5841
Existing Customer,37,M,3,High School,Single,$60K - $80K,Blue,36,3,1,5,8418,2051,6367,0.847,2879,63,0.703,0.244,Tampa,FL,8418
Existing Customer,30,M,0,High School,Married,Less than $40K,Blue,21,5,4,3,2490,1259,1231,1.079,2441,53,0.514,0.506,Las Vegas,NV,2490
Existing Customer,45,M,3,Post-Graduate,Married,$80K - $120K,Blue,35,3,3,2,20640,1603,19037,0.532,1792,53,0.395,0.078,New Orleans,LA,20640
Existing Customer,54,M,1,High School,Married,$60K - $80K,Blue,37,5,1,1,9453,2188,7265,0.572,1688,45,0.452,0.231,Norwalk,CT,9453
Existing Customer,46,M,2,Graduate,Married,$60K - $80K,Blue,40,4,2,4,7949,1514,6435,0.857,3355,58,0.657,0.19,Northwood,IA,7949
Existing Customer,36,F,4,College,Single,Less than $40K,Blue,36,3,2,1,2758,2168,590,1.046,3073,86,0.792,0.786,Conover,NC,2758
Existing Customer,48,M,2,Doctorate,Single,$120K +,Blue,41,5,2,1,20148,1084,19064,0.79,3921,74,0.542,0.054,Henderson,TX,20148
Existing Customer,60,M,1,Uneducated,Single,$80K - $120K,Blue,51,6,3,4,26566,2517,24049,0.985,3103,65,0.625,0.095,Oswego,NY,26566
Existing Customer,44,M,5,Graduate,Single,$60K - $80K,Blue,34,3,3,5,13477,2057,11420,0.684,3866,67,0.634,0.153,Saint George,UT,13477
Existing Customer,48,M,4,Graduate,Married,$80K - $120K,Silver,40,6,2,5,34516,807,33709,0.967,3937,80,1.051,0.023,Oklahoma City,OK,34516
Existing Customer,53,M,3,High School,Married,$120K +,Blue,47,5,1,3,19081,2431,16650,0.37,1536,31,0.476,0.127,Easton,PA,19081
Existing Customer,37,F,4,High School,Divorced,$40K - $60K,Blue,22,5,1,3,2563,1638,925,0.681,2064,46,0.917,0.639,Sodus,NY,2563
Existing Customer,49,F,2,Doctorate,Married,Less than $40K,Blue,44,4,3,0,3397,1962,1435,0.483,3295,66,0.61,0.578,Hitchcock,TX,3397
Existing Customer,36,F,3,Graduate,Single,$40K - $60K,Blue,28,3,2,3,3701,969,2732,1.079,3222,86,0.623,0.262,Florham Park,NJ,3701
Existing Customer,30,F,2,Graduate,Single,Less than $40K,Blue,18,3,1,4,4199,1903,2296,1.059,3016,67,0.763,0.453,Sullivan,MO,4199
Existing Customer,34,M,3,High School,Single,$40K - $60K,Blue,21,4,1,3,4353,1655,2698,0.806,2664,81,0.884,0.38,Barron,WI,4353
Existing Customer,39,F,4,Post-Graduate,Married,Less than $40K,Blue,22,3,3,1,5454,1108,4346,1.021,2674,67,0.675,0.203,Lexington,KY,5454
Existing Customer,36,M,2,Doctorate,Single,$40K - $60K,Blue,26,4,3,2,2845,2517,328,0.686,2396,51,0.5,0.885,Leitchfield,KY,2845
Existing Customer,45,M,4,Uneducated,Married,$60K - $80K,Silver,33,5,2,4,25907,745,25162,0.607,2058,56,0.806,0.029,Newark,NJ,25907
Existing Customer,38,F,3,Uneducated,Single,Less than $40K,Blue,33,5,3,2,2206,2018,188,0.648,1739,35,0.667,0.915,Miami,FL,2206
Existing Customer,31,M,0,Graduate,Single,$40K - $60K,Blue,24,3,1,4,12050,1732,10318,0.804,2015,46,0.704,0.144,Woodbridge,NJ,12050
Existing Customer,51,M,1,Graduate,Married,$40K - $60K,Silver,36,6,2,2,17905,980,16925,0.731,4399,64,0.778,0.055,Everett,PA,17905
Existing Customer,37,M,3,Graduate,Married,$60K - $80K,Blue,31,3,1,3,4940,1199,3741,1.57,3246,57,0.9,0.243,Plainfield,IN,4940
Existing Customer,34,F,0,High School,Married,$40K - $60K,Blue,36,5,1,3,3203,2229,974,1.146,2625,52,0.625,0.696,New Bloomfield,MO,3203
Existing Customer,32,F,1,College,Divorced,Less than $40K,Blue,36,3,5,4,1835,1017,818,0.82,2801,79,0.519,0.554,Green Cove Springs,FL,1835
Existing Customer,42,M,2,Doctorate,Married,$80K - $120K,Blue,32,4,2,2,26222,1073,25149,1.288,1988,30,0.579,0.041,Chicago,IL,26222
Existing Customer,55,M,4,College,Divorced,$80K - $120K,Blue,36,4,2,3,34173,1194,32979,1.056,3731,69,0.816,0.035,New York,NY,34173
Existing Customer,57,F,2,Graduate,Married,$40K - $60K,Blue,49,5,1,2,3377,1720,1657,0.491,1621,32,0.391,0.509,Milwaukee,WI,3377
Existing Customer,53,M,2,Graduate,Married,$120K +,Blue,43,6,3,2,5882,2335,3547,0.579,1380,30,0.667,0.397,Mira Loma,CA,5882
Existing Customer,47,M,3,Graduate,Married,Less than $40K,Blue,41,6,1,4,5833,1747,4086,0.551,3732,75,0.531,0.3,Canton,MA,5833
Existing Customer,37,M,2,High School,Single,$40K - $60K,Blue,24,6,2,3,11699,1758,9941,0.869,2007,46,1,0.15,Windsor,CT,11699
Existing Customer,45,F,2,Uneducated,Single,$40K - $60K,Blue,35,6,3,2,4505,1562,2943,0.604,3968,68,0.619,0.347,Huntingdon Valley,PA,4505
Existing Customer,55,M,2,Uneducated,Single,$60K - $80K,Blue,48,6,3,2,7667,1193,6474,1.101,3915,76,0.617,0.156,Leesburg,FL,7667
Existing Customer,36,F,3,Graduate,Single,Less than $40K,Blue,31,3,2,3,2937,2159,778,0.67,2511,51,0.7,0.735,Albuquerque,NM,2937
Existing Customer,36,F,1,High School,Single,Less than $40K,Blue,36,5,3,4,5257,1572,3685,0.732,2822,73,0.659,0.299,Carmel,CA,5257
Existing Customer,39,M,2,High School,Single,$60K - $80K,Blue,28,6,3,3,10331,957,9374,0.699,3695,81,0.653,0.093,Ooltewah,TN,10331
Existing Customer,56,F,2,Graduate,Married,Less than $40K,Blue,48,6,3,2,4366,1590,2776,0.475,1596,37,0.423,0.364,Mount Airy,NC,4366
Existing Customer,49,M,3,Graduate,Single,$120K +,Blue,36,6,2,3,8514,2013,6501,0.664,4098,74,0.542,0.236,Des Moines,IA,8514
Existing Customer,36,F,4,Uneducated,Single,Less than $40K,Blue,26,4,3,2,2002,1377,625,0.671,2411,60,0.714,0.688,Laneville,TX,2002
Existing Customer,51,F,0,High School,Married,Less than $40K,Blue,35,5,3,4,3132,1815,1317,1.018,3607,60,0.935,0.58,Midland,TX,3132
Existing Customer,34,M,2,Graduate,Married,$80K - $120K,Blue,23,6,2,3,7567,1776,5791,1.275,2361,45,0.875,0.235,Grenada,MS,7567
Existing Customer,43,M,2,Graduate,Married,$120K +,Silver,31,6,2,4,34516,2398,32118,0.917,4976,88,0.692,0.069,Chula Vista,CA,34516
Existing Customer,38,M,2,College,Married,$80K - $120K,Blue,30,2,3,2,3735,1421,2314,0.57,1837,47,0.741,0.38,Herrin,IL,3735
Existing Customer,55,M,2,Post-Graduate,Single,$60K - $80K,Blue,37,3,3,1,22127,1799,20328,0.758,3591,63,0.75,0.081,Dallas,TX,22127
Existing Customer,43,M,3,Uneducated,Married,$80K - $120K,Blue,36,6,1,2,28634,926,27708,0.622,4549,68,0.659,0.032,Suwanee,GA,28634
Existing Customer,49,F,2,Post-Graduate,Single,Less than $40K,Blue,36,3,1,3,3414,1473,1941,0.597,1803,49,1.13,0.431,Gresham,OR,3414
Existing Customer,41,F,2,Uneducated,Married,$40K - $60K,Blue,36,5,3,3,2690,1912,778,0.692,3636,68,0.7,0.711,Spokane,WA,2690
Existing Customer,51,F,3,Graduate,Single,Less than $40K,Blue,46,4,1,3,1792,989,803,1.202,3102,63,0.703,0.552,Denver,CO,1792
Existing Customer,37,M,1,Doctorate,Single,$80K - $120K,Blue,30,6,3,2,19300,1181,18119,0.764,2660,70,0.795,0.061,Austin,TX,19300
Existing Customer,37,M,2,College,Divorced,$40K - $60K,Blue,24,3,3,4,8120,2098,6022,0.826,3161,54,0.688,0.258,Elyria,OH,8120
Existing Customer,36,M,3,Uneducated,Married,$80K - $120K,Blue,25,6,3,3,21434,1345,20089,0.603,2143,46,0.586,0.063,Valdosta,GA,21434
Existing Customer,45,M,3,High School,Married,$120K +,Blue,35,6,2,3,32446,1974,30472,0.621,1717,39,0.696,0.061,Chicago,IL,32446
Existing Customer,41,M,2,Graduate,Married,$80K - $120K,Blue,36,6,3,3,9133,2140,6993,0.649,4101,88,0.63,0.234,Oceanside,CA,9133
Existing Customer,47,M,3,Graduate,Single,$80K - $120K,Blue,37,3,3,2,5116,1468,3648,0.91,2361,49,0.633,0.287,Charlotte,TN,5116
Existing Customer,39,M,2,Post-Graduate,Married,$80K - $120K,Blue,31,5,2,1,18974,2517,16457,1.369,2783,56,1,0.133,Jersey City,NJ,18974
Existing Customer,51,M,4,Uneducated,Single,$120K +,Blue,45,6,2,3,12101,2517,9584,0.733,2086,44,0.76,0.208,Fargo,ND,12101
Existing Customer,55,F,1,High School,Single,$40K - $60K,Blue,46,5,3,4,5379,962,4417,0.827,1778,40,0.29,0.179,College Park,MD,5379
Existing Customer,57,M,3,Graduate,Single,$120K +,Blue,49,5,3,3,32676,2134,30542,0.797,3990,88,0.76,0.065,Corona,NY,32676
Existing Customer,36,M,4,Doctorate,Divorced,$120K +,Blue,31,4,3,4,34516,1491,33025,0.93,2243,60,0.935,0.043,Cape Canaveral,FL,34516
Existing Customer,51,F,2,Uneducated,Married,Less than $40K,Blue,45,6,3,2,7165,2037,5128,0.83,3553,78,0.902,0.284,Big Bear Lake,CA,7165
Existing Customer,38,M,2,Graduate,Single,$60K - $80K,Silver,32,5,1,1,26988,1587,25401,0.968,3732,70,0.795,0.059,Bismarck,ND,26988
Existing Customer,40,F,4,Graduate,Single,Less than $40K,Silver,27,3,1,2,10745,2084,8661,0.847,3502,87,0.933,0.194,Effingham,SC,10745
Existing Customer,46,F,4,Uneducated,Single,Less than $40K,Blue,35,5,2,3,2722,1473,1249,0.737,3129,69,0.683,0.541,Cleveland,OH,2722
Existing Customer,49,M,4,Graduate,Married,$80K - $120K,Blue,39,5,1,1,34516,543,33973,0.745,3951,76,0.9,0.016,Allendale,SC,34516
Existing Customer,52,M,5,Graduate,Single,$80K - $120K,Blue,47,3,1,1,2047,665,1382,0.605,3452,66,0.692,0.325,Canoga Park,CA,2047
Existing Customer,40,M,3,Graduate,Single,$80K - $120K,Blue,34,3,3,4,22380,1220,21160,0.884,3756,73,0.78,0.055,Albany,NY,22380
Existing Customer,36,M,3,Uneducated,Married,$80K - $120K,Blue,31,3,3,5,12893,1620,11273,0.576,2300,60,0.463,0.126,Rush,NY,12893
Existing Customer,53,M,3,High School,Single,Less than $40K,Blue,47,5,1,1,3351,1474,1877,0.393,4294,66,0.737,0.44,Texarkana,TX,3351
Existing Customer,34,M,4,College,Single,$60K - $80K,Blue,20,5,1,2,2165,1952,213,0.822,2651,81,0.841,0.902,De Land,IL,2165
Existing Customer,50,M,3,Graduate,Married,$120K +,Blue,42,4,5,3,34516,2099,32417,0.449,1756,35,0.25,0.061,Dallas,TX,34516
Existing Customer,36,M,1,Uneducated,Divorced,$120K +,Blue,28,6,3,2,5260,1116,4144,0.664,2546,62,0.879,0.212,Fall River Mills,CA,5260
Existing Customer,36,M,2,Graduate,Single,$120K +,Blue,28,4,3,0,3174,2462,712,0.772,3140,74,0.721,0.776,Patterson,LA,3174
Existing Customer,44,F,2,Uneducated,Married,Less than $40K,Blue,36,4,2,5,4396,1489,2907,1.258,3942,69,0.816,0.339,Los Angeles,CA,4396
Existing Customer,53,F,2,Graduate,Single,Less than $40K,Blue,43,3,3,4,6853,1480,5373,0.513,2833,70,0.556,0.216,Simpsonville,SC,6853
Existing Customer,59,M,1,High School,Married,$40K - $60K,Blue,53,6,2,5,5446,1885,3561,0.643,1505,33,0.32,0.346,Pascoag,RI,5446
Existing Customer,46,M,2,Graduate,Married,$60K - $80K,Blue,34,4,2,0,9451,1280,8171,0.681,3179,79,0.975,0.135,Parrish,AL,9451
Existing Customer,44,M,1,High School,Married,Less than $40K,Blue,33,5,2,2,6130,808,5322,0.747,3411,78,0.592,0.132,West Warwick,RI,6130
Existing Customer,32,M,1,High School,Married,$40K - $60K,Blue,18,4,1,4,4583,1586,2997,0.828,2395,57,0.781,0.346,Gastonia,NC,4583
Existing Customer,51,M,3,Graduate,Divorced,$40K - $60K,Blue,41,5,3,4,7570,1388,6182,0.909,3849,70,0.591,0.183,Kennett Square,PA,7570
Existing Customer,52,M,2,Doctorate,Married,$80K - $120K,Blue,38,4,2,2,12878,1628,11250,0.542,1968,59,0.735,0.126,Fort Mill,SC,12878
Existing Customer,49,M,3,Post-Graduate,Single,$120K +,Silver,36,6,1,5,34516,1323,33193,0.934,3422,78,0.529,0.038,Buchanan Dam,TX,34516
Existing Customer,35,M,1,Graduate,Married,$40K - $60K,Blue,25,5,4,4,5801,1176,4625,1.12,2987,52,0.857,0.203,Fayetteville,NC,5801
Existing Customer,36,F,1,Post-Graduate,Married,Less than $40K,Blue,23,6,3,3,3107,2354,753,1.248,2720,48,1.182,0.758,Saint Paul,MN,3107
Existing Customer,33,F,4,Graduate,Single,Less than $40K,Blue,22,5,1,2,2001,1217,784,0.775,3162,99,0.707,0.608,Clever,MO,2001
Existing Customer,38,M,1,Doctorate,Single,$80K - $120K,Silver,29,6,3,3,34516,1435,33081,1.13,4238,85,0.809,0.042,San Diego,CA,34516
Existing Customer,44,F,4,Uneducated,Married,Less than $40K,Blue,26,4,1,2,4726,1551,3175,0.544,3658,70,0.628,0.328,Norcross,GA,4726
Existing Customer,37,F,1,Graduate,Single,$40K - $60K,Blue,27,6,1,2,2673,2517,156,0.714,3052,63,0.75,0.942,Stockton,CA,2673
Existing Customer,46,M,4,Graduate,Married,$80K - $120K,Blue,33,5,1,3,16227,917,15310,0.479,4314,67,0.634,0.057,El Paso,TX,16227
Existing Customer,51,M,2,Graduate,Married,$80K - $120K,Blue,40,3,2,4,3290,2461,829,0.797,3591,80,0.739,0.748,Prairie Village,KS,3290
Existing Customer,50,F,3,High School,Single,Less than $40K,Silver,39,4,3,4,11176,2422,8754,1.003,2682,64,0.641,0.217,Dearborn,MI,11176
Existing Customer,53,M,2,Graduate,Married,$80K - $120K,Blue,41,3,2,5,2492,1668,824,0.651,1606,32,0.882,0.669,Torrington,CT,2492
Existing Customer,54,M,2,Post-Graduate,Single,$60K - $80K,Blue,38,3,3,5,14265,1878,12387,0.847,3982,58,0.871,0.132,Lapel,IN,14265
Existing Customer,47,F,4,High School,Single,Less than $40K,Blue,38,4,1,4,7469,1899,5570,0.999,3150,70,0.489,0.254,Pittsfield,NH,7469
Existing Customer,52,F,4,Graduate,Married,Less than $40K,Blue,36,6,1,2,4592,2517,2075,0.572,1470,33,0.737,0.548,Mesa,AZ,4592
Existing Customer,33,F,1,College,Single,Less than $40K,Silver,17,4,3,2,13431,1583,11848,0.621,2338,71,0.69,0.118,Dayton,OH,13431
Existing Customer,44,M,3,Doctorate,Single,$120K +,Blue,35,4,1,5,14028,1435,12593,0.57,3683,73,0.738,0.102,Detroit,MI,14028
Existing Customer,36,M,1,Uneducated,Divorced,$80K - $120K,Blue,28,4,1,3,34516,774,33742,0.989,3030,74,0.805,0.022,Grantham,PA,34516
Existing Customer,37,M,3,High School,Single,$80K - $120K,Blue,31,4,2,4,5699,1006,4693,0.734,2835,57,0.9,0.177,Utica,NY,5699
Existing Customer,52,M,2,College,Married,$80K - $120K,Blue,36,6,3,4,2803,778,2025,0.55,3142,64,0.561,0.278,Morristown,NJ,2803
Existing Customer,50,M,1,Uneducated,Married,$120K +,Blue,30,6,2,5,34516,2010,32506,0.594,2776,59,0.735,0.058,Mosheim,TN,34516
Existing Customer,59,M,1,Uneducated,Single,Less than $40K,Blue,53,5,5,4,2192,1569,623,0.706,4010,79,0.717,0.716,Cicero,IL,2192
Existing Customer,40,F,3,High School,Married,Less than $40K,Blue,31,5,2,4,4736,945,3791,0.835,3927,73,0.659,0.2,Chicago,IL,4736
Existing Customer,59,M,1,Doctorate,Single,$60K - $80K,Blue,49,5,2,4,9944,1606,8338,0.62,3159,69,0.568,0.162,Lubbock,TX,9944
Existing Customer,48,M,3,Graduate,Married,$60K - $80K,Blue,38,5,2,3,16920,2157,14763,0.629,3275,60,0.5,0.127,Concord,NC,16920
Existing Customer,41,F,5,High School,Single,$40K - $60K,Blue,32,6,1,2,14987,1425,13562,0.8,4470,83,0.844,0.095,Thorofare,NJ,14987
Existing Customer,46,M,3,Graduate,Married,$120K +,Blue,42,3,3,4,9227,938,8289,0.735,3948,74,0.721,0.102,Jackson Center,PA,9227
Existing Customer,48,M,1,High School,Single,$60K - $80K,Blue,40,6,2,2,2319,1630,689,0.846,3739,68,0.659,0.703,Saint Petersburg,FL,2319
Existing Customer,53,M,3,High School,Single,$80K - $120K,Blue,42,6,3,3,18531,1548,16983,0.833,2484,52,0.857,0.084,Sacramento,CA,18531
Existing Customer,34,M,2,Graduate,Single,$80K - $120K,Silver,22,4,3,3,34516,1263,33253,0.603,2759,65,0.806,0.037,Pompano Beach,FL,34516
Existing Customer,39,M,1,Uneducated,Married,Less than $40K,Blue,28,3,3,4,4683,2514,2169,0.58,2010,45,0.731,0.537,Indianapolis,IN,4683
Existing Customer,53,F,3,Uneducated,Married,Less than $40K,Blue,36,4,3,2,4224,2417,1807,0.522,1458,29,1.071,0.572,Godfrey,IL,4224
Existing Customer,49,M,3,High School,Single,$120K +,Blue,42,5,3,2,12630,1822,10808,0.947,4084,66,0.571,0.144,Abbeville,LA,12630
Existing Customer,52,M,1,High School,Divorced,$120K +,Blue,36,4,3,5,31945,1591,30354,0.711,3650,62,0.676,0.05,Fayetteville,NC,31945
Existing Customer,35,M,1,College,Single,$60K - $80K,Blue,26,3,2,3,23447,1515,21932,0.622,2834,77,0.638,0.065,Jackson,MS,23447
Existing Customer,48,M,3,Graduate,Single,$80K - $120K,Blue,30,4,2,3,4180,688,3492,0.747,3750,76,0.727,0.165,Camarillo,CA,4180
Existing Customer,53,F,1,Graduate,Single,$40K - $60K,Blue,39,3,3,2,4930,2227,2703,0.801,4224,77,0.791,0.452,Vancouver,WA,4930
Existing Customer,38,M,3,Uneducated,Married,$60K - $80K,Blue,18,6,3,4,3417,1749,1668,0.57,2068,34,0.619,0.512,Sterling Heights,MI,3417
Existing Customer,50,F,1,College,Single,Less than $40K,Blue,45,4,2,4,4785,1965,2820,0.8,3651,59,0.553,0.411,Grover Hill,OH,4785
Existing Customer,36,M,2,Graduate,Married,$60K - $80K,Blue,28,4,3,2,1911,1217,694,0.363,1965,49,0.256,0.637,Olympia,WA,1911
Existing Customer,49,M,3,Graduate,Married,Less than $40K,Blue,36,3,3,5,2976,1817,1159,0.739,3332,60,0.667,0.611,Great Falls,MT,2976
Existing Customer,50,M,2,Graduate,Single,$80K - $120K,Blue,36,4,2,1,19595,1187,18408,0.875,3811,62,0.824,0.061,Katy,TX,19595
Existing Customer,43,M,4,Graduate,Single,$60K - $80K,Blue,25,3,2,4,13193,1749,11444,0.671,4071,64,0.73,0.133,Camp Pendleton,CA,13193
Existing Customer,57,F,3,College,Single,$40K - $60K,Blue,36,3,1,3,8184,1508,6676,0.789,4134,71,0.821,0.184,Commerce City,CO,8184
Existing Customer,51,M,2,Doctorate,Single,$120K +,Blue,36,4,2,5,25873,582,25291,0.769,3920,84,0.647,0.022,Palm Bay,FL,25873
Existing Customer,46,M,3,College,Married,$80K - $120K,Blue,32,4,2,5,20860,1496,19364,0.816,3435,56,0.697,0.072,Fleischmanns,NY,20860
Existing Customer,52,M,3,College,Married,$80K - $120K,Blue,33,3,3,4,27751,1018,26733,0.426,1427,25,0.667,0.037,Sunbury,PA,27751
Existing Customer,48,M,5,Graduate,Married,$80K - $120K,Blue,38,6,2,2,34516,657,33859,0.723,3661,71,0.868,0.019,Chestnut Hill,MA,34516
Existing Customer,47,F,4,Uneducated,Single,$40K - $60K,Blue,33,3,2,1,9148,561,8587,0.774,3451,59,0.967,0.061,Pennington,AL,9148
Existing Customer,41,F,5,Post-Graduate,Married,Less than $40K,Blue,33,3,1,2,6519,851,5668,0.679,3088,65,0.711,0.131,Blair,NE,6519
Existing Customer,44,M,5,High School,Married,$80K - $120K,Blue,36,3,2,2,2509,1464,1045,1.25,3166,72,0.946,0.583,Jacksonville,FL,2509
Existing Customer,32,F,1,High School,Single,Less than $40K,Silver,13,4,1,2,10332,948,9384,0.843,2914,67,0.763,0.092,Alstead,NH,10332
Existing Customer,52,F,2,College,Single,Less than $40K,Blue,40,4,3,3,2783,2379,404,0.912,3897,74,1,0.855,Mundelein,IL,2783
Existing Customer,46,F,3,Graduate,Single,Less than $40K,Silver,39,4,3,2,12222,1260,10962,1.138,3418,78,0.733,0.103,Como,MS,12222
Existing Customer,38,F,4,Doctorate,Married,Less than $40K,Blue,26,4,2,4,4002,1402,2600,0.579,2114,53,0.514,0.35,Yuma,CO,4002
Existing Customer,60,M,0,College,Single,$80K - $120K,Silver,53,6,3,2,34516,1388,33128,0.791,3261,64,0.684,0.04,Auburn,AL,34516
Existing Customer,48,M,2,High School,Single,$80K - $120K,Blue,36,3,2,4,10227,1695,8532,0.875,3577,82,0.783,0.166,Valley Center,CA,10227
Existing Customer,45,F,2,Graduate,Single,Less than $40K,Blue,34,3,3,1,4265,1622,2643,0.708,3244,62,0.879,0.38,Hummelstown,PA,4265
